R89pOjwORB6pkvDW9u6hoXNFENICS;Overal normal function due to neuron network properties@en-us;overall normal function due to neuronal network properties;overall normal function due to neuronal network properties@en-us;r89p ojw o r b6pkv d w9u6ho x n;overal normal function due to neuron network properti
RwcubAXCIcP10yoVjk9JVfFENICS;rwcub a x c ic p10yo vjk9 j vf;Effect on recoveri from slow inactivation@en-us;effect on recovery from slow inactivation@en-us;effect on recovery from slow inactivation;effect on recoveri from slow inactiv
RFfobOSwAuTUYKPE2tL5xfFENICS;normal slope of slow inactivation@en-us;r ffob o sw au t u y k p e2t l5xf;normal slope of slow inactiv;normal slope of slow inactivation
RBIy27OxlnSdZXc0c2teiZDFENICS;normal peak current@en-us;r b iy27 oxln sd z xc0c2tei z d;normal peak current
R99KATlEV5UUOxmTthHewYyFENICS;effect on shift of voltag depend of activ;effect on shift of voltage dependence of activation;Effect on shift of voltag depend of activ;r99 k a tl e v5 u u oxm tth hew yy
RDnQOos7Y952sZBt7bCl2AFENICS;overall normal function;overal normal function;r dn q oos7 y952s z bt7b cl2 a;Overal normal function@en-us;overall normal function@en-us
RBx87cocPenIzmpmFJRAE8EFENICS;r bx87coc pen izmpm f j r a e8 e;acceleration or increase in fast inactivation (tau inactivation);acceleration or increase in fast inactivation (tau inactivation)@en-us;acceler or increas in fast inactiv (tau inactivation);Acceler or increas in fast inactiv (tau inactivation)@en-us
RCJNYSXtzUQaxxxeigBc9rgFENICS;absence of abnormal gating pore current@en-us;Absenc of abnorm gate pore current@en-us;absenc of abnorm gate pore current;absence of abnormal gating pore current;r c j n y s xtz u qaxxxeig bc9rg
R8fyxz5nx0mgxsMOtEoRmWkFENICS;r8fyxz5nx0mgxs m ot eo rm wk;impair or slow in rate of activ (tau activation);r8fyxz5nx0mgx m ot eo rm wk;impairment or slowing in rate of activation (tau activation)@en-us;Impairment or slow in rate of activ (tau activation)@en-us;impairment or slowing in rate of activation (tau activation)
R7dNr0622a5wBESQGcaLkZgFENICS;Effect on compon of ion channel function@en-us;effect on compon of ion channel function;r7d nr0622a5w b e s q gca lk zg;effect on component of ion channel function;effect on component of ion channel function@en-us
R82G1vBnkSQhiYsTT3hCskWFENICS;increase in slope of activation (k);increase in slope of activation (k)@en-us;r82 g1v bnk s qhi ys t t3h csk w;increas in slope of activ (k);Increas in slope of activ (k)@en-us
R8hFpMkdFDIganHQtA3nbJVFENICS;effect on rate of activ (tau activation);Effect on rate of activ (tau activation)@en-us;r8h fp mkd f d igan h qt a3nb j v;effect on rate of activation (tau activation)@en-us;effect on rate of activation (tau activation)
RBSg2tM1FbJBOPZrJ3Ipe0GFENICS;mild depolarizing shift of voltage dependence of fast inactivation (right shift);Mild depolar shift of voltag depend of fast inactiv (right shift)@en-us;mild depolar shift of voltag depend of fast inactiv (right shift);mild depolarizing shift of voltage dependence of fast inactivation (right shift)@en-us;r b sg2t m1 fb j b o p zr j3 ipe0 g
R7KOr8G1xCnwPzwaON10MTmFENICS;hyperpolarizing shift of voltage dependence of fast inactivation (left shift);r7 k or8 g1x cnw pzwa o n10 m tm;hyperpolarizing shift of voltage dependence of fast inactivation (left shift)@en-us;hyperpolar shift of voltag depend of fast inactiv (left shift);Hyperpolar shift of voltag depend of fast inactiv (left shift)@en-us
R9HYQpAlzBNEVxccrGnZUKOFENICS;r9 h y qp alz b n e vxccr gn z u k o;Normal recoveri from slow inactivation@en-us;normal recovery from slow inactivation;normal recoveri from slow inactiv;normal recovery from slow inactivation@en-us
R9wEM2OxcV4ZL1GcpqWaE52FENICS;overall gain-of-function@en-us;overal gain-of-funct;overall gain-of-function;Overal gain-of-function@en-us;r9w e m2 oxc v4 z l1 gcpq wa e52
RobShQwofhZsmj29NgnSGjFENICS;effect on slow inactivation@en-us;effect on slow inactivation;effect on slow inactiv;rob sh qwofh zsmj29 ngn s gj
R7z6iE87cbBZePvVnmAKuLfFENICS;overal loss-of-funct effect with respect to biophys channel activ;r7z6i e87cb b ze pv vnm a ku lf;overall loss-of-function effect with respect to biophysical channel activity;Overal loss-of-funct effect with respect to biophys channel activity@en-us;overall loss-of-function effect with respect to biophysical channel activity@en-us
R9GXFE2OawwbLewohMEJYngFENICS;presenc of abnorm gate pore current;presence of abnormal gating pore current@en-us;r9 g x f e2 oawwb lewoh m e j yng;presence of abnormal gating pore current;Presenc of abnorm gate pore current@en-us
R7xYGfLUETEAY1cGj6zqYjlFENICS;r7x y gf l u e t e a y1c gj6zq yjl;normal slope of inactivation@en-us;normal slope of inactiv;normal slope of inactivation
RoMCTYJPjBEU5d6aaVUh44FENICS;Hyperpolar shift of voltag depend of slow inactiv (left shift)@en-us;ro m c t y j pj b e u5d6aa v uh44;hyperpolar shift of voltag depend of slow inactiv (left shift);hyperpolarizing shift of voltage dependence of slow inactivation (left shift)@en-us;hyperpolarizing shift of voltage dependence of slow inactivation (left shift)
RDFDJF4kvghH94F1afcua4wFENICS;effect on slope of activ (k);effect on slope of activation (k)@en-us;Effect on slope of activ (k)@en-us;effect on slope of activation (k);r d f d j f4kvgh h94 f1afcua4w
R8Kyj6yec26dDePPO9tgqV2FENICS;effect on ion channel modulation@en-us;effect on ion channel modulation;effect on ion channel modul;r8 kyj6yec26d de p p o9tgq v2
